source,date,company,executive,figure,figure_usd,pay_ratio,median_employee_usd,context,url
register,2026-05,Infosys,Salil Parekh,₹82.6 crore (US$9m),9000000,,,742 times the median Infosys employee's pay — 289 times excluding the exercised options. Disclosed after layoffs and while the company had still not decided the timing or size of employee pay rises for the following year.,https://www.businesstoday.in/latest/corporate/story/infosys-pay-check-ceo-salil-parekh-took-home-rs82-6-crore-742-times-median-employee-pay-534067-2026-05-30
register,2026-05,Thermo Fisher Scientific,Marc Casper,US$79.9m,79900000,,,"The pay report drew about 36% support, and Thermo Fisher is a repeat offender — it also failed to win a majority the year before.",https://corpgov.law.harvard.edu/2026/08/12/2026-say-on-pay-results-strong-overall-with-large-special-awards-common-among-low-vote-outcomes/
register,2026-05,University of Edinburgh,Peter Mathieson,£426k,541020,,,"Edinburgh spent £18m on severance in the same year, against a programme of £140m of cuts. Rank-and-file university staff were offered 2%.",https://www.timeshighereducation.com/depth/do-uk-university-finances-justify-redundancy-wave-or-v-c-pay
register,2026-05,West Marine,Paulee Day,"US$425,000",425000,,,"The company filed for Chapter 11 bankruptcy protection sixteen days later, on 17 May, owing its top 30 vendors more than US$65m. One of the smaller creditors, a crab-trap maker owed about US$12,000, asked at a bankruptcy hearing whether anyone in the top tier would give a bonus back “to help the group down on the bottom”.",https://tradeonlytoday.com/industry-news/west-marine-execs-paid-1-075-million-in-bonuses/
register,2026-04,Rivian,RJ Scaringe,US$403m,403000000,,,"Rivian has never made an annual profit and lost US$3.6bn in the year. It sold 42,247 vehicles. Directors justified the award as entirely at-risk, unlocking only on significant share price and financial improvement.",https://www.autoblog.com/news/rivian-hasnt-made-a-profit-but-paid-its-ceo-403-million
register,2026-04,KLM,Marjan Rintel,€1.6m,1728000,,,"Awarded during the 'Back on Track' cost programme, which cuts around 250 office jobs and targets a 5% rise in labour productivity. Dutch finance minister Eelco Heinen called the payouts 'highly inappropriate' given what is being asked of staff and said he would raise it at the next shareholders' meeting; the state holds 5.9% of KLM and 9.1% of Air France-KLM. The FNV union cited the widening gap between executives and employees.",https://nltimes.nl/2026/04/03/klm-ceo-pay-rises-32-amid-cost-cutting-measures-job-cuts
register,2026-03,Broadcom,Hock Tan,US$205.3m,205300000,,,"Seventy-eight times his own pay the year before, and roughly 3,400 years of work at the US median wage.",https://www.fool.com/investing/how-to-invest/top-ceos/highest-paid-ceos/
register,2026-03,Shell,Wael Sawan,£13.8m,17526000,,,"Adjusted earnings fell 22% to US$18.5bn, from US$23.7bn. In the same announcement Shell proposed a pay policy allowing a long-term award of up to nine times salary, a further 50% increase on what the chief executive can receive.",https://www.expressandstar.com/uk-news/2026/03/12/shell-boss-wael-sawan-sees-pay-jump-almost-60-to-138m-despite-profit-fall/
register,2026-03,Hyundai Motor,Euisun Chung,₩17.5bn (US$12.6m),12600000,,,"Seventy times the average Hyundai Motor employee's pay. Across the largest Korean companies the gap widened again, with top executive pay rising faster than the workforce's.",https://en.sedaily.com/finance/2026/03/18/hyundais-chung-receives-126m-pay-up-52-percent-from-prior
register,2026-02,Centrica (British Gas),Chris O'Shea,£3.6m,4572000,,,"Underlying earnings nearly halved, to £814m from £1.55bn. The household supply arm's earnings fell 39% to £163m, including an £80m hit from unusually warm weather.",https://uk.finance.yahoo.com/news/centrica-boss-picks-3-6m-155330082.html
register,2026-02,Ahold Delhaize,Frans Muller,€7.5m,8100000,,,"Staff at Gall & Gall, the off-licence chain Ahold Delhaize owns, rejected the company's final offer — 2% in May 2026, 1% in December, and the Sunday allowance halved, which the FNV union called a cigar from your own box — and struck through May, June and July, closing dozens of shops. Etos, another Ahold chain, had settled at 3.5% with no cut to conditions. Gall & Gall employs about 1,800 people; one year of his pay is about €4,200 for each of them.",https://nltimes.nl/2026/02/26/albert-heijn-owner-ahold-delhaize-plans-major-boost-ceo-executive-bonuses
register,2026-02,University of Exeter,Lisa Roberts,£392k,497840,,,"Exeter paid £10,038,000 to 427 staff who left in 2024-25, and reopened its voluntary severance scheme in May 2025 as part of wider cost-cutting.",https://www.timeshighereducation.com/depth/do-uk-university-finances-justify-redundancy-wave-or-v-c-pay
register,2025-12,ANZ,Shayne Elliott,A$7.9m,5214000,,,"ANZ agreed to pay a A$240m civil penalty to regulators for systemic failures. Nearly a third of shareholders voted against the remuneration report at the December 2025 AGM, a second strike in two years. Proxy advisers said the cuts should have gone further.",https://thenightly.com.au/business/anz-receives-second-strike-against-remuneration-report-after-nearly-one-third-of-shareholders-vote-no-c-21045392
register,2025-12,Aimco,Wes Powell,US$6.72m,6720000,,,Awarded to retain a chief executive to wind the company up. The board approved a Plan of Sale and Liquidation in November 2025; stockholders approved a payout of US$1.45 per share.,https://www.theglobeandmail.com/investing/markets/stocks/AIV/pressreleases/36846403/aimco-restructures-ceo-pay-to-support-liquidation-plan/
register,2025-11-06,Tesla,Elon Musk,US$1tn,1000000000000,,,"Even at the board's conservative valuation, roughly what every other S&P 500 CEO combined was paid in a year, per Glass Lewis.",https://www.cnbc.com/2025/11/06/tesla-shareholders-musk-pay.html
register,2025-11,Dallas Area Rapid Transit,Nadine Lee,"US$72,000",72000,,,"Two months earlier DART made the largest service cuts in its history, citing a shortfall of US$42-43m. Several member cities including Plano were considering withdrawing from the system. Irving mayor Rick Stopfer, a board member, opposed the bonus and cited low ridership.",https://dallasexpress.com/metroplex/dart-board-oks-60k-ceo-bonus-despite-43m-shortfall-and-cities-threatening-to-leave/
register,2025-10,Star Entertainment Group,Steve McCann,A$9.66m,6375600,,,"Star posted a statutory net loss after tax of A$427.9m for the year, following a A$1,684.6m loss the year before. No dividend was declared or paid. More than 40% of votes were cast against the remuneration report at the AGM, a first strike, and the company conceded the pay structure was not in line with typical market practice. McCann resigned with immediate effect on 16 December 2025, about 17 months into the job.",https://www.starentertainmentgroup.com.au/wp-content/uploads/2025/10/TSEG-Annual-Report-2025.pdf
register,2025-10,Wessex Water,Ruth Jefferson,£670k,850900,,,"Staff were given 3.5% in the same round. The new salary is 18 times the company's median employee pay, at a company under a statutory bonus ban following criminal pollution convictions.",https://www.aol.com/articles/wessex-water-chief-pockets-above-070051000.html
register,2025-09,Woolworths Holdings,Roy Bagattini,R79.8m,4468800,,,"The remuneration committee chair confirmed no short-term incentive was payable because neither the financial nor the strategic trigger had been met. The performance award was forfeited in full; the joining award paid out on schedule, because it was never conditional on performance.",https://www.businessday.co.za/bd/companies/retail-and-consumer/2025-09-30-no-performance-bonus-for-woolworths-ceo-but-he-still-gets-nearly-r80m-for-years-work/
register,2025-08,Tricolor,Daniel Chu,US$6.25m,6250000,,,"Within days of the payments more than 1,000 employees were placed on unpaid leave. The company filed for bankruptcy on 10 September 2025. The indictment alleges roughly US$800m in bogus collateral created by double-pledging assets.",https://www.cnbc.com/2025/12/17/tricolor-ceo-bonus-bankruptcy-indictment.html
register,2025-08,UCare,Hilary Marden-Resnik,US$1.27m,1270000,,,"UCare posted a US$504m operating loss in 2024. State officials took over the nonprofit health plan in December and it moved toward shutdown, with a further 102 jobs cut as liquidation continued; the remaining business was sold to rival Medica on 1 January. The company attributed the failure to low Medicaid reimbursement rates.",https://www.startribune.com/ucare-ceo-salary-topped-1m-as-the-health-insurer-foundered/601548209
register,2025-06,Toyota,Akio Toyoda,¥1.95bn (US$13.5m),13500000,,,"Awarded on falling profit and after a run of vehicle certification and safety-testing scandals. Support for his re-election fell to 85% from 96% in 2022, the lowest since at least 2010, with CalPERS, CalSTRS and New York City's pension system voting against him.",https://asia.nikkei.com/business/automobiles/toyota-chairman-s-pay-hits-new-record-up-20-despite-lower-profit
register,2025-05,Thames Water,Each of 21 senior executives,£881k avg,1118870,,,"Paid out of a £3bn emergency loan raised to rescue the utility from financial collapse, amid sewage spills and a possible nationalisation.",https://finance.yahoo.com/news/mps-ask-ministers-whether-recoup-184736433.html
register,2025-05,Ryanair,Michael O'Leary,€100m,108000000,,,Unions called the award morally questionable given the airline's record on cabin crew and pilot pay. Barclays analysts noted that the share buyback which helped lift the price was approved by a board on which O'Leary sits.,https://www.bloomberg.com/opinion/articles/2025-05-30/ryanair-100-million-ceo-michael-o-leary-is-klopp-of-airlines
register,2025-04,Warner Bros. Discovery,David Zaslav,US$51.9m,51900000,,,"398 times the median WBD employee's US$130,316. Shareholders rejected the package in the advisory say-on-pay vote, 1.06bn votes to 724m.",https://m.imdb.com/news/ni65229235
register,2025-04,Pfizer,Albert Bourla,US$24.6m,24600000,,,"269 times the median Pfizer employee. Awarded through the continued collapse of the COVID vaccine business and a public proxy fight with Starboard Value, which pointed to Pfizer trailing the NYSE Arca Pharma index by 132 points in the second half of 2024.",https://www.fiercepharma.com/pharma/rebound-year-pfizer-ceo-bourla-gets-14-pay-hike-246m
register,2025-02,Ørsted,Mads Nipper,DKK18.9m (US$2.7m),2700000,,,The exit was to arrest a slump that had taken 83% off the share price since its 2021 peak. Ørsted's market value fell from US$93.9bn to US$15.1bn over the four-year tenure.,https://cdn.orsted.com/-/media/annual2024/orsted-rem-report-2024.pdf
register,2025-01-24,Starbucks,Brian Niccol,US$96m,96000000,,,"6,666 times the median Starbucks worker's US$14,674, for a third of a year, ahead of announced job cuts — the widest ratio of any company in the S&P 500, per the AFL-CIO.",https://fortune.com/2025/01/25/starbucks-ceo-brian-niccol-compensation-96-million-stock-awards-performance
register,2025,United Utilities,Louise Beardmore,£2.5m,3175000,,,United Utilities is one of the six firms named under the Water (Special Measures) Act — the legislation written to stop payments of this kind.,https://www.lbc.co.uk/article/sewage-anglian-water-uk-mark-thurston-5HjdfHF_2/
register,2025,Wessex Water,Colin Skellett,£693k,880110,,,"The ban was imposed on Wessex after criminal pollution convictions in November 2024, over a sewage pumping station failure that killed more than 2,000 fish.",https://www.lbc.co.uk/article/wessex-water-boss-170k-bonus-ban-5HjdPwS_2/
register,2025,UniCredit,Andrea Orcel,€13.2m,14256000,,,"He had already survived a shareholder revolt over the terms and size of an earlier package worth up to €7.5m, carried only narrowly.",https://finance.yahoo.com/news/unicredit-ceo-orcels-annual-pay-135016032.html
register,2025,VIA Rail,The average VIA Rail executive,"C$115,293 avg",84163,,,"VIA Rail's trains ran on time 35% of the time that year, and the federal government put in C$376m to cover its operating losses.",https://vocm.com/2026/07/30/305637/
register,2024-12,Intel,Pat Gelsinger,US$10m,10000000,,,"Intel announced 15,000 job cuts in August 2024, more than 15% of its staff, and reduced employee benefits as part of a US$10bn savings plan. He was removed four months later.",https://fortune.com/2024/12/03/intel-ceo-pat-gelsinger-resignation-pay-package-performance-severance
register,2024-09,The Warehouse Group,Nick Grayston,NZ$2.2m,1320000,,,"A half-year loss of NZ$23.7m driven by writedowns on Torpedo7, the outdoor goods business the company sold for NZ$1 having invested NZ$52.2m in it. TheMarket, its separate online site, was closed after no buyer could be found. Grayston was hired from Sears in 2016 to lift sales, shareholder returns and the online business; the tenure instead ran through restructurings, a failed consumer finance venture, asset writedowns and erratic earnings.",https://www.nzherald.co.nz/business/companies/retail/former-warehouse-boss-22m-golden-parachute/RVFWXHLXBFGG5GYRVLLZ42TP3Q/
register,2024-04-05,Boeing,Dave Calhoun,US$32.8m,32799999,,,"Voted through months after a fuselage panel blew out mid-flight, with the stock down ~29% and a DOJ fraud review in the headlines.",https://www.cnn.com/2024/05/17/investing/boeing-shareholders-vote-to-approve-usd33-million-ceo-pay-package/index.html
register,2024-04,Stellantis,Carlos Tavares,€36.5m,39420000,,,"Awarded while the carmaker cut costs and workforce for its EV transition. Glass Lewis, ISS and Proxinvest all recommended voting it down; it passed on 70% support, a thinner margin than the year before.",https://gulfnews.com/business/markets/stellantis-shareholders-approve-ceos-388-million-pay-package-1.1713281367443
register,2024-04,AstraZeneca,Pascal Soriot,£16.9m,21463000,,,Proxy adviser Glass Lewis called the proposed increase 'excessive'.,https://offtolunch.substack.com/p/massively-underpaid
register,2024-03,P&O Ferries,Peter Hebblethwaite,£183k,232410,,,"P&O Ferries sacked 786 British seafarers without notice in March 2022 and replaced them with agency crew, some paid as little as £4.87 an hour. He admitted to Parliament that the company had broken the law deliberately.",https://www.nautilusint.org/en/news-insight/news/po-ferries-boss-pocketed-more-than-500000-after-sacking-uk-seafarers/
register,2024-03,UBS,Sergio Ermotti,CHF14.4m (US$15.9m),15900000,,,"Paid while UBS cut the combined bonus pool 14%, to US$4.5bn from US$5.3bn, and stripped Credit Suisse executives of theirs entirely. Swiss finance minister Karin Keller-Sutter said the sum exceeded 'the imagination of any normal citizen'; the upper house of parliament then backed a motion to cap banker pay at CHF3m to CHF5m.",https://www.cnbc.com/2024/03/28/ubs-chiefs-surprise-return-to-the-swiss-banking-giant-bagged-him-a-15point9-million-paycheck.html
register,2024-02,Norfolk Southern,Alan Shaw,US$13.4m,13400000,,,"A Norfolk Southern train derailed at East Palestine, Ohio in February 2023, releasing vinyl chloride and forcing evacuations. Operating income fell more than 40%, including a US$1.1bn hit from the derailment. An 'East Palestine Adjustment' lifted his performance stock payout from 56% to 96.3% of target.",https://www.cnn.com/2024/02/26/business/norfolk-southern-ceo-pay-raise
register,2023-09-20,Qantas,Alan Joyce,A$21.4m,14124000,,,"The airline had illegally sacked 1,700 ground staff and was sued for selling tickets on flights it had already cancelled.",https://fortune.com/2023/09/20/qantas-may-claw-back-9m-from-former-ceo-whose-15m-bonus-and-early-retirement-was-dubbed-the-swindle-of-the-century
register,2023-08,Commonwealth Bank,Matt Comyn,A$10.4m,6864000,,,"The bank made a record A$10.2bn cash profit that year, which it attributed mainly to a 0.17 percentage point widening of its net interest margin — the gap between what it pays savers and charges borrowers — as rates rose. Its own provision for bad debts rose A$1.47bn over the same twelve months, which it attributed to rising rates and cost-of-living pressure on those same borrowers. It closed 73 branches, and stopped closing regional ones only after a Senate inquiry into the 1,600 shut across regional and rural Australia in six years asked it to.",https://www.abc.net.au/news/2023-08-09/commonwealth-bank-annual-profits-financial-year-2023/102705782
register,2023-06,RTÉ,Ryan Tubridy,€345k,372600,,,"The arrangement kept his declared earnings below €500,000 while his actual earnings went above it, at a public broadcaster funded by a compulsory licence fee. Director general Dee Forbes resigned four days after the disclosure.",https://www.irishexaminer.com/news/arid-41207533.html
register,2023-04,Loblaw,Galen Weston,C$11.79m,8606700,,,"Awarded during record food inflation, while Weston was being called before a parliamentary subcommittee on grocery prices. A consumer boycott of Loblaw followed.",https://www.cbc.ca/news/business/grocery-executive-compensation-1.6802091
register,2023-03,Silicon Valley Bank,Greg Becker,US$3.6m,3600000,,,"Silicon Valley Bank collapsed on 10 March 2023, the largest US bank failure since 2008. Senator Sherrod Brown told him: 'You were paying out bonuses until literally hours before regulators seized your assets.'",https://fortune.com/2023/03/10/silicon-valley-bank-ceo-greg-becker-3-6-million-stock-sale/
register,2023-02,HSBC,Noel Quinn,£5.6m,7112000,,,"The staff bonus pool was cut 4% to US$3.4bn in the same year, during a restructuring that planned to remove about 35,000 roles.",https://www.irishexaminer.com/business/companies/arid-41076302.html
register,2022-12,TAP Air Portugal,Alexandra Reis,€500k,540000,,,"She had just been appointed a secretary of state, and resigned that post within a month. Infrastructure minister Pedro Nuno Santos resigned over the affair, citing how it looked during a cost-of-living crisis, and the government dismissed TAP's chief executive and chairman in March 2023.",https://www.euronews.com/2022/12/29/tapgate-resignations-in-portugals-government-over-severance-pay-controversy
register,2022-12,FIFA,Gianni Infantino,CHF3.6m (US$3.8m),3800000,,,"The tournament was built by migrant labour. The Guardian reported in 2021 that 6,500 workers from India, Pakistan, Nepal, Bangladesh and Sri Lanka had died in Qatar in the decade after it won the bid, from all causes; the ILO recorded 50 work-related deaths and more than 500 severe injuries in Qatar in 2020 alone. Amnesty International and Human Rights Watch asked FIFA to set up a remedy fund for the dead and injured and for wage theft, matching the US$440m of prize money. FIFA announced a Legacy Fund instead, with nothing in it for workers, and Infantino said Qatar's own insurance fund would deal with it. Human Rights Watch was still reporting no remedy a year later. FIFA took about US$7.5bn from the cycle.",https://www.insideworldfootball.com/2024/03/18/infantino-earns-33-pay-rise-4-66-million/
register,2022-07,Vale,Eduardo Bartolomeo,R$55m (US$10m),10000000,,,"Vale's dam at Brumadinho failed in January 2019, killing 270 people under 12 million cubic metres of tailings. In the two years after, the company paid shareholders US$3.63bn and those affected by the disaster US$686.9m. Victims said the compensation fell far short.",https://revistamineracao.com.br/2022/07/25/presidente-da-vale-tem-2o-maior-salario-entre-90-ceos-de-empresas-da-bolsa/
register,2022-02,Peloton,John Foley,US$17.8m,17800000,,,Demand collapsed as lockdowns ended and the share price fell away with it. Activist investor Blackwells Capital called for his removal and for the company to be sold. He stepped down as chief executive in February 2022.,https://www.cnbc.com/2022/02/12/the-fall-of-pelotons-john-foley-and-the-markets-big-founder-problem.html
register,2021-12,Santander,Andrea Orcel,€67.8m,73224000,,,"Santander agreed with unions to close about 1,150 branches and cut some 4,000 jobs in Spain, roughly a tenth of its Spanish workforce, across the period in which it was litigating over the pay of a chief executive it never hired.",https://en.ara.cat/business/ana-botin-defeated-santander-to-pay-andrea-orcel-68m_1_4208917.html
register,2021-04,Palantir,Alex Karp,US$1.1b,1100000000,,,"An 8,991% increase on the US$12.1m he was paid the year before.",https://www.benzinga.com/news/21/04/20881752/palantir-ceo-saw-compensation-rise-nearly-9-000-in-2020
register,2021-02,Rio Tinto,Jean-Sébastien Jacques,£13.3m,16891000,,,"Rio Tinto blew up two 46,000-year-old Aboriginal rock shelters at Juukan Gorge in the Pilbara to expand an iron ore mine. More than 60% of votes were cast against the remuneration report at the 2021 AGM. The vote was advisory and the payment stood.",https://www.cnn.com/2021/02/22/business/rio-tinto-annual-report-2020-intl-hnk
register,2021,WeWork,Adam Neumann,US$445m,445000000,,,WeWork's valuation fell from US$47bn to about US$8bn. Staff who had been told 'we over me' held options worth close to nothing. The company filed for bankruptcy in November 2023.,https://www.cnbc.com/2023/11/07/heres-how-much-wework-founder-adam-neumann-got-before-bankruptcy.html
register,2021,Discovery,David Zaslav,US$246.6m,246600000,,,Discovery had promised Wall Street hundreds of millions in cost savings from combining the two companies. The savings came out of jobs: the merger was followed by thousands of redundancies. As You Sow later ranked him the most overpaid chief executive in the United States.,https://www.hollywoodreporter.com/business/business-news/discovery-ceo-david-zaslav-pay-2021-1235101727/
register,2020-03,Swedbank,Birgitte Bonnesen,SEK26.6m (US$2.7m),2700000,,,"She was removed an hour before the annual meeting over the bank's handling of money laundering through its Baltic branches, and was later indicted for gross fraud over her public statements about those controls.",https://www.bloomberg.com/news/articles/2020-02-20/swedbank-s-ousted-ceo-gets-2-7-million-in-termination-benefits
register,2019-12,Alphabet,Sundar Pichai,US$281m,281000000,,,"Alphabet agreed to pay US$310m to settle shareholder litigation over how the company had handled sexual misconduct allegations against executives, and to stop paying severance to anyone fired for misconduct or under investigation for it. That litigation followed reporting on a US$90m exit package for one executive and a further US$15m for another, and a worldwide staff walkout.",https://www.outlookindia.com/newsscroll/alphabet-ceo-sundar-pichais-2019-compensation-topped-280-million/1814605
register,2019-11,McDonald's,Steve Easterbrook,US$105m,105000000,,,"McDonald's sued him in August 2020 after finding he had lied during its investigation, deleted evidence from his phone, and had had three further relationships with employees, one of them approved for a share grant worth hundreds of thousands of dollars. He returned the entire US$105m in December 2021 — the largest clawback of its kind — and the SEC fined him US$400,000 in January 2023 for misleading investors about why he had gone.",https://www.cnbc.com/2021/12/16/mcdonalds-claws-back-105-million-severance-from-fired-ceo-easterbrook.html
register,2019-04,Post Office,Paula Vennells,£2.2m,2794000,,,Between 1999 and 2015 the Post Office prosecuted 736 subpostmasters on evidence from the faulty Horizon accounting system. People were imprisoned and bankrupted. She returned her CBE in January 2024 after more than a million people signed a petition.,"https://www.computerweekly.com/news/252498388/Ex-Post-Office-CEO-Paula-Vennells-walked-away-from-IT-scandal-with-over-400,000-in-pay-and-bonuses"
register,2019-03,Deutsche Bank,Christian Sewing,€7m,7560000,,,"The bank's wider bonus pool fell 14% that year, partly because of job cuts, and the investment bank's pool was cut about 30% the following year. Unions feared the mooted Commerzbank merger would cost up to 30,000 jobs.",https://www.cnbc.com/2019/03/22/deutsche-bank-top-management-gets-bonuses-for-first-time-in-four-years.html
register,2019,OMV,Rainer Seele,€7.24m,7819200,,,"Reporting by Dossier put roughly €400,000 of company money into private flights alone since 2016, at a part state-owned oil and gas group.",https://www.derstandard.at/story/2000117748239/omv-chef-rainer-seele-ist-mit-7-24-millionen-euro
register,2018-11,Nissan,Carlos Ghosn,US$80m,80000000,,,"He was arrested in Tokyo in November 2018 and held for 108 days. He jumped bail in 2019, fled to Lebanon, and remains a fugitive. He has never stood trial.",https://www.cnbc.com/2018/11/29/nissan-reportedly-finds-ghosn-didnt-disclose-80-million-in-pay-.html
register,2018-11,Persimmon,Jeff Fairburn,£75m,95250000,,,"More than half of Persimmon's sales went through Help to Buy, the taxpayer-backed loan scheme launched in 2013, which lifted the share price the award was keyed to. The chairman, Nicholas Wrigley, and the senior independent director, Jonathan Davie, both resigned in December 2017, acknowledging the scheme “could have included a cap”. Fairburn left in November 2018 after a shareholder rebellion, having walked out of a television interview when asked about the money.",https://www.architectsjournal.co.uk/news/persimmon-chair-quits-over-100m-bonus
register,2018-07,Royal Mail,Rico Back,£5.8m,7366000,,,"Seventy per cent of shareholders voted against the remuneration report at the 2018 annual meeting. The average Royal Mail worker earned £28,274 that year, so the package came to more than a hundred times theirs; the CWU called the arrangements obscene, after years in which the workforce had lost thousands of jobs to modernisation and accepted cuts to their defined-benefit pensions. He ran the company from his house on Lake Zurich, and left in May 2020 with nine monthly payments totalling £480,000, up to £50,000 of legal fees and £25,000 of outplacement support — announced alongside the news that executive directors would take no bonus for the year and that £25m had been set aside for frontline staff during the pandemic.",https://www.bbc.com/news/business-52673690
register,2018-01,Carillion,Richard Howson,£1.5m,1905000,,,"Carillion went into liquidation in January 2018 owing about £3bn, taking suppliers and public contracts with it. MPs found a 'rotten corporate culture'. Executives declined to repay bonuses, saying they had earned them.",https://www.constructionnews.co.uk/sections/news/carillion-directors-bonus-pay-halted-18-01-2018/
register,2017-12,China Evergrande,Xia Haijun,RMB298m (US$44m),44000000,,,"In November 2024 Evergrande told managers who had served between 2017 and 2021 to hand back 15% of their salaries and bonuses, into an account opened by police. Staff at its wealth arm were told to return commissions on investment products they had been given targets to sell; many had bought the products with their own money to hit those targets and never recovered it, and about RMB41bn was owed to investors at the end of 2021, more than RMB30bn of it still unpaid two years later. Xia was fined RMB15m and banned from China's securities market for life for organising the preparation of false accounts, having been forced out in July 2022 over a RMB13.4bn pledge of Evergrande Property Services' deposits. More than 160,000 people left the group in the two years after it blew up.",http://www.nbd.com.cn/rss/toutiao/articles/2965293.html
